title,authors,journal_info,abstract,pmid,search_query
Photon-counting CT in maxillofacial and temporal bone CT-a comparative analysis of image quality and dose with high-end energy-integrating CT systems.,"Layer Yannik Christian, Mesropyan Narine, Isaak Alexander, Kravchenko Dmitrij, Bischoff Leon et al.",European radiology experimental (2025),"This experimental study aimed to compare the image quality of maxillofacial and temporal bone imaging using different radiation dose settings on current high-end CT systems: photon-counting detector CT (PCDCT), dual-source energy-integrating detector CT (DECT), and dual-layer spectral detector CT (SDCT).",40815484,Medical Image Analysis
Comprehensive analysis of [18F]MFBG biodistribution normal patterns and variability in pediatric patients with neuroblastoma.,"Wang Peipei, Chen Xiaorui, Yan Xiaofang, Yan Jing, Yang Shuye et al.",European journal of nuclear medicine and molecular imaging (2025),"[18F]-meta-fluorobenzylguanidine ([18F]MFBG) PET/CT is a promising imaging modality for neural crest-derived tumors, particularly neuroblastoma. Accurate interpretation necessitates an understanding of normal biodistribution and variations in physiological uptake. This study aimed to systematically characterize the physiological distribution and variability of [18F]MFBG uptake in pediatric patients to enhance clinical interpretation and differentiate normal from pathological uptake.",40815390,Medical Image Analysis
Seeing the Invisible With Ultrasomics: Transforming Myocardial Tissue Characterization or Just Another Layer of Complexity?,"Grenne Bjørnar, Østvik Andreas",JACC. Cardiovascular imaging (2025),,40815255,Medical Image Analysis
"Facilitators, barriers, and insights using an HFA-PEFF-based clinical decision support system: A proof-of-concept study.","Milosavljević Isidora, Petrović Ivan, Ilić Aleksandra, Dabović Dragana, Milovančev Aleksandra et al.",ESC heart failure (2025),"Knowing that heart failure (HF) with preserved ejection fraction (HFpEF) can be difficult to diagnose, a clinical decision support system (CDSS), with functional, morphological and biomarker domains, was built. Therefore, this research aimed to analyse the possibility of implementing CDSS, compliance of the physicians with the CDSS recommendations, as well as identify obstacles and facilitators to its usage.",40814213,Medical Image Analysis
Abemaciclib impairs glioblastoma sphere formation by targeting the GSK3β-mediated transcriptional regulation of CD44 and TCF7L2.,"Liang Muh-Lii, Chen Chun-Han, Lin Ya-Ching, Lin Yu-Chen, Liu Yun-Ru et al.",Cancer gene therapy (2025),"Glioblastoma multiforme (GBM) is an aggressive brain tumor partly driven by cancer stem cells (CSCs). Abemaciclib demonstrates the potential for treating GBM, although its mechanisms beyond RB phosphorylation are not fully understood. This study reveals that Abemaciclib diminishes GBM sphere formation by influencing EMT pathways via GSK3β-mediated regulation of CD44 and TCF7L2. Treatment with Abemaciclib significantly hindered sphere formation in GBM cells, and transcriptomic analysis indicated EMT pathways suppression. Mechanistically, Abemaciclib consistently lowered the expression of CD44 and TCF7L2 in both parental and sphere cells by inhibiting GSK3β phosphorylation. A pharmacological GSK3β inhibitor produced similar effects, reinforcing the existence of a GSK3β-CD44/TCF7L2 axis. Moreover, orthotopic xenografts confirmed reduced tumor growth and CD44 expression in vivo. Analyses of TCGA and CGGA datasets revealed that the mesenchymal GBM subtype (MES-GBM), linked with poor outcomes, exhibits elevated EMT gene expression. Treatment of MES-like LN229 cells with Abemaciclib resulted in decreased phosphorylation of GSK3β and reductions in EMT-related gene expression. Our findings highlight a novel EMT-suppressive action of Abemaciclib, illustrating its therapeutic potential for targeting the CSCs and for treating the MES-GBM. This research provides mechanistic insights and justification for repurposing Abemaciclib as targeted therapies for aggressive glioblastoma.",40813896,Medical Image Analysis
A novel approach in diagnosing knee osteoarthritis for content based image retrieval in big data analytics and medical images.,"Bozdag Pinar Gundogan, Mutlu Hurşit Burak, Karaduman Mucahit, Yildirim Muhammed, Khan M Attique et al.",Scientific reports (2025),"The rapid growth in database size due to technological advances has led to difficulties in locating and accessing specific data components. While deep learning and other machine learning architectures are promising in retrieving data components, their effectiveness is more pronounced when addressing groups of diseases. On the contrary, this effectiveness decreases when large data sets are accessed. Content-based Image retrieval (CBIR) methods are used in large data sets. In this study, knee osteoarthritis detection was performed using a developed hybrid CBIR-based system. Knee Osteoarthritis is the wear and tear of the cartilage in the knee joint. Knee osteoarthritis is a disease whose incidence increases, especially after a certain age. In this study, CBIR techniques were preferred to detect knee osteoarthritis. In the proposed method, feature extraction was performed using DarkNet53, Histogram of Oriented Gradients (HOG), and Local Binary Patterns (LBP). These features are combined to leverage the benefits of different aspects of the same image. To enhance the proposed model's speed and effectiveness, a hybrid model was developed utilizing the Neighborhood Component Analysis (NCA) method. Seven different distance measurement metrics were used in the developed CBIR model. Current deep learning architectures published in the literature struggle to achieve comparable success rates in distinguishing between closely related but distinct disease groups. The study highlights the challenges that increasing class diversity poses for the performance of deep learning architectures. In addition, the developed system aims to overcome the limitations of existing deep learning models in distinguishing similar disease groups.",40813877,Medical Image Analysis
CBCT-based online adaptive radiotherapy of the bladder - geometrical and dosimetrical considerations compared to conventional IGRT.,"Fischer Jann, Fischer Laura Anna, Bensberg Jona, Bojko Natalia, Bouabdallaoui Mohamed et al.","Radiation oncology (London, England) (2025)","Bladder cancer radiotherapy presents unique challenges due to the dynamic anatomy of the bladder and the surrounding organs. Conventional image-guided radiotherapy (IGRT) relies on fixed treatment margins and daily couch corrections, which can result in suboptimal dose delivery. Cone Beam Computed Tomography (CBCT)-based online adaptive radiotherapy (oART) allows daily re-optimization of treatment plans, potentially improving target dose coverage while minimizing exposure to organs at risk (OAR). This study compares oART with IGRT in bladder cancer patients.",40813674,Medical Image Analysis
Segmental Yttrium-90 Radioembolization with Day-of-Calibration Resin Microspheres: Durable Transarterial Ablation for Solitary Hepatocellular Carcinoma.,"Talenfeld Adam D, Peng Robert, McKenney Anna Sophia, Cobb Benjamin, Chughtai Komal A et al.",Cardiovascular and interventional radiology (2025),"Several recent studies report safety and efficacy of resin yttrium-90 radiation segmentectomy for localized hepatocellular carcinoma. Data informing tumor dose, angiosome dose, and spheres/mL required for ablative-intent resin radioembolization are incomplete. The safety, efficacy, dosimetry, and explant pathology of radiation segmentectomy with day-of calibration (DOC) spheres are reported.",40813475,Medical Image Analysis
RGB color correction and gamut limitations in smartphone-based kinetic analysis of chemical reactions.,"Fyfe Calum, Yu Shengkai, Zhang Jing, Reid Marc",Analytical and bioanalytical chemistry (2025),"The variability in hardware specifications and environmental factors poses significant challenges to the use of smartphone cameras in analytical measurement. Towards time-resolved color analysis and reaction monitoring, we systematically quantified multiple sources of measurement uncertainty in smartphone-based color measurements, finding that while sensor repeatability is high ( Δ E < 0.5  ), lighting conditions and viewing angles can introduce substantial bias ( Δ E  versus reference colors increasing by up to 64% at oblique angles). We implemented and evaluated a matrix-based image color correction methodology using a color reference chart, reducing inter-device and lighting-dependent variations by 65-70% (quantified by the color change metric, Δ E  ). Moving beyond static image correction to video analysis, our approach was validated through the monitoring of Blue1 dye degradation kinetics using videos recorded on two different smartphones. Time-resolved and color-corrected measurements from both devices produced consistent kinetic profiles. Importantly, we identified a fundamental limitation in RGB-based colorimetry: highly saturated colors that exceed the sRGB color gamut create artificial discontinuities in kinetic profiles, manifesting as ""shouldering"" effects not present in spectrophotometric data. Unlike previous methods that focused on controlling environmental factors through custom enclosures, our time-resolved color correction methodology systematically quantifies and corrects for multiple sources of color bias across various smartphone models, enabling standardized measurements even in variable conditions. This advancement enhances the reliability of field-ready, smartphone-based colorimetric applications and establishes a framework for calibrating video-based reaction monitoring against established spectroscopic measurements.",40813462,Medical Image Analysis
Clinical Validation of Deep Learning for Image Restoration of Ultra-Low-Count [18F]FDG PET for Dementia Diagnostics.,"Schiller Florian, Brumberg Joachim, Frings Lars, Deschamps Joran, Schmied Christopher et al.","Journal of nuclear medicine : official publication, Society of Nuclear Medicine (2025)","Deep learning (DL) represents a promising technique for image restoration. We explored its ability to restore ultra-low-count [18F]FDG PET studies of the brain in subjects with dementia and in healthy subjects to allow for reduced scan durations or administered activities without compromising diagnostic performance. Methods: Various DL models using the content aware image restoration approach of CSBDeep toolbox (3D U-nets) were trained with subvolumes of 1,000 random subjects. On the basis of 10-min list-mode PET data after injection of 208 ± 10 MBq of [18F]FDG, we reconstructed reduced scan durations of 2 min, 1 min, 30 s, 20 s, and 10 s. The resulting models were applied to [18F]FDG PET scans of subjects with Alzheimer disease (n = 15), frontotemporal dementia (n = 14), and healthy controls (n = 13). We explored the effect of reduced scan times on individual regional measures in diagnostically relevant regions and on voxel-based group contrasts. Three independent readers rated all datasets with regard to assessability, diagnosis, and diagnostic confidence. Results: Individual mean regional [18F]FDG uptake remained largely unchanged. The SD strongly increased with shorter scan duration without application of DL (mean increase ≤ 48%), whereas it slightly decreased with DL (≥-7%). In group contrasts, the number of significant voxels strongly decreased with shorter scan time without DL (≥-41%), which was partially offset by DL (≥-27%). On visual reads, the fraction of assessable images steeply fell to only 4% (10-s scan) for scan durations below 2 min without DL, whereas every single image restored with DL was assessable. The diagnostic confidence continuously declined with shorter scan durations without DL, whereas diagnostic confidence only negligibly changed with DL (intermediate-to-high confidence ratings: 0%-54% vs. 80%-84%; 83% for the 10-min scan). The diagnostic accuracy of PET reads dropped from 90% to 4% without and remained high with DL (90%-93%; 90% for the 10-min scan). Conclusion: Our study demonstrates the compelling performance of DL to restore cerebral [18F]FDG PET datasets with ultra-low-count statistics for quantitative regional, voxel-based group, and clinical visual analyses. Consequently, DL enables a dramatic reduction of scan durations or administered activities (e.g., 10-min scan with 3.5 MBq, equivalent to ∼60 µSv) for [18F]FDG PET in patients with dementia and possibly other indications.",40813236,Medical Image Analysis
