title,authors,journal_info,abstract,pmid,search_query
Associations of Violence Against Women With Comorbid Symptoms of Depression and Anxiety Among Left-Behind Women in Rural China: Cross-Sectional Study.,"Hou Leying, Luo Zeyu, Sun Weidi, Ying Jiayao, Wu Jing et al.",JMIR public health and surveillance (2025),"Violence against women (VAW) is a major public health and human rights concern with profound mental health consequences. However, the association between specific VAW forms and mental health, particularly among left-behind women in rural China, remains unclear.",40773765,Social Anxiety Disorder
"Prevalence and predictors of panic attacks among reproductive-age females among the attendees of primary health centers of Abha, Saudi Arabia.","Al Saleh Majed, Alshammary Zaina, Alsaif Bushra Abdulhameed, Alzubaidi Fatimah Hassan, Bawazeer Duaa Mohammed et al.",Journal of education and health promotion (2025),"Panic attacks are sudden, intense episodes of fear, often accompanied by physical symptoms like tachycardia, rapid breathing, and sweating. These episodes can escalate into panic disorder, marked by persistent anxiety about future attacks. This study is novel in exploring an underrepresented population in global mental health research: reproductive-aged women in Abha, Saudi Arabia. Cultural, social, and environmental factors unique to this region significantly influence the occurrence of panic attacks. The study examines socio-demographic and obstetric factors associated with these episodes in southern Saudi Arabia, a region with limited existing research. To determine the prevalence and frequency of panic attacks among reproductive-aged women in Abha, Saudi Arabia, and identify associated socio-demographic and obstetric factors.",40772099,Social Anxiety Disorder
A Case-Control Study of Trichotillomania Patients Using a National Database.,"Parikh Aarushi K, Musolff Noah, Tchack Madeline, Rao Babar",Skin appendage disorders (2025),"Trichotillomania (TTM) is a body-focused repetitive disorder linked to psychiatric comorbidities. Comprehensive studies mapping its associations with a range of conditions remain limited. This study examines TTMs associations with psychiatric, neurodevelopmental, substance-related, reproductive, and social factors using a national database.",40771450,Social Anxiety Disorder
The Relationship Between Anxiety and Employment Status in a German Working-Age Population: Findings on Sex-Specific Prevalence Rates and Associated Factors of Anxiety From the LIFE-Adult-Study.,"Görres Charlyn, Pabst Alexander, Zülke Andrea E, Glaesmer Heide, Hinz Andreas et al.",Depression and anxiety (2025),"Introduction: Anxiety disorders are among the most prevalent mental illnesses worldwide, with a 12-month prevalence rate of 14%-15.3%. Prior research has demonstrated a correlation between unemployment and impaired mental health. The primary objective of this study is to examine the relationship between anxiety and employment status in Germany. Methods: The sample consisted of 4885 working-age participants (18-65 years) from the baseline survey of a population-based cohort study. Anxiety was assessed using the General Anxiety Disorder Scale-7 (GAD-7). Employment status was divided into four groups: full-time employment (FTE group), part-time employment (PTE group), ALG I (ALG I group, being unemployed receiving entitlement-based benefits), and ALG II (ALG II group, being unemployed receiving means-tested benefits). Negative binomial regressions were conducted to examine the association between anxiety, employment status, sociodemographic variables (age, sex, marital status, and education), and social resources (Lubben Social Network Scale 6 [LSNS-6]). Results: The prevalence of anxiety symptoms (FTE group: 5.0%, PTE group: 4.8%, ALG I group: 2.7%, and ALG II group: 17.6%) differed between employment status groups. The ALG II group exhibited a markedly elevated prevalence compared to all other groups (p  < 0.001). The prevalence of anxiety symptoms was higher among females in the FTE group (7.6%) compared to males (2.9%) in the same category (p  < 0.001). The initial regression model indicated a statistically significant association between anxiety symptoms and the ALG II group (p  < 0.001) and the PTE group (p=0.006). After including additional variables, this effect maintained its statistical significance. Factors associated with a higher risk of anxiety symptoms were female sex (p  < 0.001), low educational level (p=0.007), and less social resources (p  < 0.001). Conclusion: Unemployed individuals who receive ALG II are at the highest risk of developing anxiety symptoms among those who are able to work. These findings suggest the need for targeted psychosocial and occupational support for unemployed individuals receiving ALG II.",40771399,Social Anxiety Disorder
Psychosocial screening and interventions in congenital heart surgery: optimising patient and family outcomes.,"Hoyos Maria E, Well Andrew, O'Connor Mario, Van Diest Heather, Lopez Hannah et al.",Cardiology in the young (2025),"Integrating psychosocial health services into paediatric surgical specialty care is essential for addressing behavioural and psychological aspects of illness and reducing healthcare disparities. This is crucial for patients facing CHD, who are at higher risk for depression, anxiety, and attention-deficit/hyperactivity disorder, which is significantly influenced by their caregivers' mental well-being.",40771111,Social Anxiety Disorder
I don't know-responses in the international trauma questionnaire caregiver-version: caregivers' knowledge about children's mental health.,"Lueger-Schuster Brigitte, Weindl-Wagner Dina, Zagaria Andrea, Russo Moritz, Novaković Irina Zrnić et al.",BMC psychology (2025),"To assess psychological problems in children having experienced traumatic events, multiple sources of information are gathered, including the caregiver's report. Caregiver and child reports rarely accord. As there is no consensus why reports differ, this study investigated the caregivers' knowledge on their child's psychological symptoms, implementing an ""I don't know"" option (IDK) in a measure on (complex) posttraumatic stress disorder- (C)PTSD.",40770767,Social Anxiety Disorder
"Smoking cessation behavior, nicotine addiction, and mental health among current smokers in Klang Valley, Malaysia- a cross-sectional questionnaire survey.","Gunasegran G Sri Yogaprita, Sivanandy Palanisamy, Ingle Pravinkumar Vishwanath, Manirajan Priya, Sreeramareddy Chandrashekhar T",BMC public health (2025),"Poor knowledge of smoking-related diseases is a major concern as smoking is associated with an increasing trend in smoking-related illnesses globally and in Malaysia. Our study aimed to investigate the knowledge of smoking tobacco, smoking behaviour, nicotine use, willingness to quit smoking, and level of stress, anxiety, and depression among current and former smokers in the Klang Valley of Malaysia.",40770704,Social Anxiety Disorder
Balancing mental health through predictive modeling for healthcare workers during public health crises.,"Wang Jiana, Feng Lin, Meng Nana, Yang Cong, Cai Fanfan et al.",Scientific reports (2025),"During public health emergencies such as SARS, Ebola, and COVID-19, healthcare workers (HCWs) are often on the front lines, placing them at increased risk for adverse mental health outcomes, particularly depression and anxiety. Despite this risk, there remains a scarcity of research focused on developing predictive models to forecast the depression and anxiety levels of healthcare workers under challenging conditions. A total of 349 HCWs were selected from a Tertiary Grade-A hospital in the city of Shenyang, Liaoning Province in China. Depression and anxiety were assessed using the Patient Health Questionnaire (PHQ-9) and the Generalized Anxiety Disorder (GAD-7) scale, respectively. This study employed a random forest classifier (RFC) to predict depression and anxiety levels of HCWs from three perspectives: individual, interpersonal, and institutional with SHAP values to assess the contribution of factors. The Synthetic Minority Over-sampling Technique (SMOTE) was employed to address the issue of imbalanced data distribution. The prevalence of depression and anxiety among HCWs was 28.37% and 33.52%, respectively. The prediction model was developed using a training dataset (70%) and a test dataset (30%). The area under the curve (AUC) for depression and anxiety was 0.88 and 0.72, respectively. Additionally, the mean values of the 10-fold cross-validation results were 0.77 for the depression prediction model and 0.79 for the anxiety prediction model. For the depression prediction model, the top ten most significant predictive factors were: burnout, resilience, emotional labor, adaptability, working experience (< 1 year), being a physician, social support, average work time last week (9-11 h), age (28-30 years), age (31-35 years). For the anxiety prediction model, the top ten most significant predictive factors were: burnout, adaptability, emotional labor, age (31-35 years), average work time last week (9-11 h), resilience, being a physician, social support, working experience (< 1 year), and being female. It is essential to develop interventions that provide support both before and after a public health emergency, aiming at mitigating symptoms of depression and anxiety. The machine learning models in this study, using innovative SMOTE methodology to balance datasets with smaller sample sizes, identified key leverage points to prevent depression and anxiety among frontline HCWs, including mitigating burnout among HCWs, bolstering their resilience and adaptability, and ensuring reasonable work hours.",40770397,Social Anxiety Disorder
"Mental, Physical, and Social Mediators of the Relationship Between Mild Traumatic Brain Injury and Functional Impairment in U.S. Military Veterans.","Meshberg-Cohen Sarah, Ingram Polly, Cook Joan M, Fischer Ian C, Pietrzak Robert H",Psychiatry (2025),"This study examined mental, physical, and social variables that may mediate the relationship between mild traumatic brain injury (mTBI) and functional impairment in a nationally representative sample of U.S. military veterans.",40768645,Social Anxiety Disorder
"Herbal Medicines in Autism Spectrum Disorder: Therapeutic Potential, Plant Components, and Dosage Guidelines.","Aldekhail Nasser M, Khojah Hanan, Alsaadoun Nouf Humoud, Al-Sanea Mohammad M, Alshammari Saleh B et al.",Alternative therapies in health and medicine (2025),"Background • Autism spectrum disorder (ASD), marked by social communication deficits and repetitive behaviors, significantly impacts the quality of life for kids and caregivers. Herbal medicines help manage symptoms, yet no comprehensive review has collectively summarized recent evidence (2018-mid-2025). Methods • This narrative review utilized searches across PubMed, Scopus, Web of Science, and Google Scholar to identify studies published on herbal medicines for ASD. Inclusion criteria prioritized clinical trials and preclinical studies detailing plant bioactive compounds, dosing, and mechanisms. Key Findings • Prominent herbs include Bacopa monnieri, which can enhance cognitive flexibility via bacosides; Curcuma longa (curcumin), which can reduce oxidative stress and repetitive behaviors; and Green Tea Extract (luteolin), which can modulate neuroinflammation. Cannabinoids show modest improvements in sleep and social engagement, while Ginkgo biloba improves cerebral blood flow. Passionflower and Valerian Root alleviate anxiety and hyperactivity through GABAergic pathways, and probiotic-fermented herbal combinations target gut-brain axis dysfunction. Ashwagandha demonstrates neuroprotective effects in preclinical trials. Clinical Implications • Herbal therapies may address core ASD symptoms (anxiety and hyperactivity) and comorbidities (sleep disturbances and gastrointestinal issues). However, standardization of herbal formulations and rigorous dosing protocols are needed. Integrative approaches combining herbs with behavioral therapies show accepted synergistic potential but require further validation. While herbal medicine may offer supportive benefits, it should never be intended to replace other evidence-based therapies (e.g., applied behavior analysis and speech therapy). Future Directions • Large-scale randomized clinical trials are crucial to confirming efficacy, safety, and optimal dosing. Research must address herb-drug interactions, long-term effects, and biomarkers for personalized treatment.",40768551,Social Anxiety Disorder
